"Los Angeles,""Beverlywood"",""2.95"""
"Los Angeles,""Studio City"",""2.95"""
"Los Angeles,""Palms"",""2.97"""
"Los Angeles,""Toluka Lake"",""2.98"""
"Los Angeles,""Valley Village"",""2.99"""
"Los Angeles,""Rancho Park"",""3.07"""
"Los Angeles,""Cheviot Hills"",""3.07"""
"Los Angeles,""Hancock Park"",""3.12"""
"Los Angeles,""Hollywood"",""3.13"""
"Los Angeles,""Sunkist Park"",""3.15"""
"Los Angeles,""Studio Village"",""3.15"""
"Los Angeles,""Park West"",""3.15"""
"Los Angeles,""Fox Hills"",""3.15"""
"Los Angeles,""Blanco - Culver Crest"",""3.15"""
"Los Angeles,""Hollywood Hills West"",""3.18"""
"Los Angeles,""Elysian Park"",""3.19"""
"Los Angeles,""Chinatown"",""3.27"""
"Los Angeles,""Mid-Wilshire"",""3.32"""
"Los Angeles,""McLaughlin"",""3.35"""
"Los Angeles,""Park East"",""3.36"""
"Los Angeles,""Jefferson"",""3.36"""
"Los Angeles,""Clarkdale"",""3.36"""
"Los Angeles,""Blair Hills"",""3.36"""
"Los Angeles,""Downtown Los Angeles"",""3.38"""
"Los Angeles,""Playa del Rey"",""3.39"""
"Los Angeles,""Mar Vista"",""3.44"""
"Los Angeles,""Westchester"",""3.44"""
"Los Angeles,""West Los Angeles"",""3.47"""
"Los Angeles,""Sawtelle"",""3.47"""
"Los Angeles,""Fairfax"",""3.63"""
"Los Angeles,""Pico - Union"",""3.65"""
"Los Angeles,""Washington Culver"",""3.73"""
"Los Angeles,""McManus"",""3.73"""
"Los Angeles,""Lucerne - Higuera"",""3.73"""
"Los Angeles,""Downtown Culver City"",""3.73"""
"Los Angeles,""Brentwood"",""3.76"""
"Los Angeles,""Bel Air"",""3.76"""
"Los Angeles,""Wilshire - Montana"",""3.89"""
"Los Angeles,""Playa Vista"",""4.12"""
"Los Angeles,""Sunset Park"",""4.14"""
"Los Angeles,""Ocean Park"",""4.14"""
"Los Angeles,""Exposition Park"",""4.16"""
"Los Angeles,""Adams - Normandie"",""4.20"""
"Los Angeles,""Del Rey"",""4.21"""
"Los Angeles,""Carthay"",""4.34"""
"Los Angeles,""Westwood"",""4.35"""
"Los Angeles,""Venice"",""4.37"""
"Los Angeles,""Century City"",""4.45"""
"Los Angeles,""Historic South-Central"",""4.54"""
"Los Angeles,""Pico"",""4.59"""
"Los Angeles,""University Park"",""4.60"""
"Los Angeles,""Beverly Grove"",""4.61"""
"Los Angeles,""Pacific Palisades"",""4.76"""
"Los Angeles,""Mid-City Santa Monica"",""5.10"""
"Los Angeles,""Downtown Santa Monica"",""5.19"""
"Los Angeles,""North of Montana"",""5.96"""
